Name,Ticker,TSLA,AAPL,MSFT,GOOG,AMZN,FB,BRK.A,JPM,V,JNJ,WMT,MA,DIS,UNH,BAC,NVDA,PG,HD,PYPL,INTC,CMCSA,XOM,VZ,NFLX,KO,NKE,ABT,T,ADBE,CSCO,CVX,PFE,MRK,CRM,AVGO,ORCL,PEP,ABBV,LLY,ACN,TMO,MCD,WFC,TXN,DHR,MDT,MS,C,BA,QCOM,Annualized Return,Daily Standard Deviation,Monthly Standard Deviation,Annualized Standard Deviation
Walmart Inc,WMT,0.29,0.42,0.25,0.05,0.28,0.29,0.44,0.23,0.26,0.47,-,0.24,0.26,0.22,0.22,0.23,0.53,0.3,0.2,0,0.51,0.06,0.68,0,0.2,0.34,0.35,0.26,0.17,0.37,0.16,0.52,0.49,0.26,0.04,0.19,0.39,-0.02,-0.04,0.36,0.44,0.37,0.14,0.21,0.28,0.28,0.23,0.23,0.11,0.36,15.31%,1.49%,4.73%,16.39%
Mastercard Incorporated,MA,0.39,0.58,0.64,0.58,0.55,0.66,0.7,0.61,0.93,0.52,0.24,-,0.71,0.45,0.68,0.51,0.35,0.66,0.71,0.39,0.66,0.64,0.37,0.5,0.62,0.62,0.36,0.6,0.78,0.5,0.66,0.34,0.38,0.69,0.55,0.54,0.55,0.37,0.08,0.82,0.18,0.57,0.6,0.62,0.25,0.75,0.68,0.72,0.61,0.38,26.97%,2.22%,8.05%,27.89%
Walt Disney Company,DIS,0.28,0.41,0.49,0.5,0.3,0.48,0.72,0.79,0.69,0.54,0.26,0.71,-,0.39,0.75,0.2,0.29,0.36,0.55,0.22,0.67,0.62,0.28,0.22,0.63,0.47,0.31,0.41,0.52,0.42,0.58,0.33,0.27,0.35,0.53,0.54,0.47,0.36,0.04,0.66,0.17,0.42,0.65,0.54,0.13,0.57,0.79,0.74,0.53,0.54,23.54%,2.12%,9.50%,32.91%
UnitedHealth Group Incorporated,UNH,0.3,0.35,0.32,0.38,0.51,0.5,0.4,0.41,0.46,0.52,0.22,0.45,0.39,-,0.49,0.24,0.21,0.3,0.37,0.2,0.34,0.39,0.41,0.35,0.34,0.26,0.32,0.28,0.4,0.4,0.49,0.58,0.42,0.27,0.28,0.35,0.29,0.39,0.27,0.55,0.4,0.24,0.4,0.26,0.21,0.45,0.41,0.48,0.13,0.05,15.44%,2.13%,6.84%,23.71%
Bank of America Corporation,BAC,0.33,0.48,0.56,0.69,0.43,0.59,0.79,0.96,0.64,0.58,0.22,0.68,0.75,0.49,-,0.37,0.38,0.48,0.53,0.42,0.74,0.79,0.36,0.3,0.55,0.53,0.35,0.68,0.54,0.59,0.74,0.38,0.2,0.37,0.54,0.66,0.42,0.43,0.12,0.67,0.36,0.4,0.83,0.72,0.31,0.55,0.89,0.94,0.61,0.43,4.97%,2.48%,9.47%,32.81%
NVIDIA Corporation,NVDA,0.33,0.73,0.56,0.42,0.5,0.55,0.43,0.3,0.49,0.3,0.23,0.51,0.2,0.24,0.37,-,0.11,0.55,0.47,0.31,0.3,0.27,0.11,0.52,0.06,0.52,0.33,0.38,0.65,0.27,0.22,0.11,0.09,0.53,0.47,0.47,0.09,0.25,-0.05,0.45,0.33,0.07,0.2,0.48,0.19,0.27,0.42,0.35,0.21,0.45,31.73%,3.14%,12.21%,42.30%
Procter & Gamble Company,PG,0.32,0.45,0.33,0.32,0.37,0.33,0.46,0.31,0.29,0.44,0.53,0.35,0.29,0.21,0.38,0.11,-,0.38,0.26,0.03,0.61,0.18,0.61,0,0.59,0.29,0.41,0.46,0.3,0.26,0.18,0.33,0.41,0.29,0.27,0.33,0.71,-0.09,-0.08,0.5,0.43,0.49,0.24,0.41,0.41,0.41,0.32,0.34,0.14,0.31,19.69%,1.49%,4.63%,16.04%
"Home Depot, Inc.",HD,0.37,0.52,0.64,0.59,0.66,0.65,0.51,0.42,0.61,0.45,0.3,0.66,0.36,0.3,0.48,0.55,0.38,-,0.63,0.25,0.45,0.47,0.33,0.38,0.44,0.57,0.56,0.7,0.57,0.43,0.53,0.36,0.23,0.66,0.55,0.41,0.53,0.33,0.02,0.62,0.58,0.56,0.24,0.66,0.57,0.51,0.5,0.52,0.35,0.5,15.09%,1.89%,6.50%,22.51%
"PayPal Holdings, Inc.",PYPL,0.4,0.58,0.61,0.53,0.57,0.63,0.46,0.46,0.69,0.43,0.2,0.71,0.55,0.37,0.53,0.47,0.26,0.63,-,0.3,0.59,0.59,0.27,0.45,0.3,0.43,0.4,0.39,0.65,0.58,0.55,0.35,0.16,0.47,0.54,0.46,0.43,0.46,0.16,0.74,0.34,0.42,0.41,0.59,0.4,0.45,0.68,0.55,0.43,0.46,48.50%,2.49%,8.69%,30.10%
Intel Corporation,INTC,0.28,0.28,0.45,0.31,0.1,0.14,0.31,0.38,0.47,0.43,0,0.39,0.22,0.2,0.42,0.31,0.03,0.25,0.3,-,0.24,0.54,0.23,0.11,0.07,0.37,0.4,0.4,0.38,0.42,0.48,0.08,0.25,0.31,0.5,0.38,0.1,0.25,0.48,0.29,0.04,0.19,0.45,0.4,0.09,0.38,0.44,0.35,0.32,0.06,9.88%,2.52%,8.15%,28.24%
Comcast Corporation,CMCSA,0.36,0.47,0.45,0.47,0.3,0.44,0.74,0.75,0.62,0.61,0.51,0.66,0.67,0.34,0.74,0.3,0.61,0.45,0.59,0.24,-,0.57,0.61,0.09,0.67,0.47,0.3,0.59,0.42,0.54,0.53,0.43,0.37,0.31,0.36,0.5,0.71,0.29,0.1,0.7,0.33,0.52,0.73,0.56,0.23,0.54,0.74,0.73,0.57,0.47,15.80%,1.85%,6.88%,23.84%
